name,SubCategory,OS,Country,City,Support Group,Virtual,Shared
ITSUSRAOMJG1N1,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAOMJG1N2,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAOMJZ1N1,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAOMJZ1N2,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAOMJZ2N1,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAOMJZ2N2,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAOMJZ3N1,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAOMJZ3N2,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAOMJZ4N1,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAOMJZ4N2,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAOMJZ5N1,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAOMJZ5N2,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAOMMS1,Windows,Win2003 Enterprise x64,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAOMMS2,Windows,Win2003 Enterprise x64,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAOMRC1N1,Windows,Win2003 Enterprise x64,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAOMRC1N2,Windows,Win2003 Enterprise x64,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAOMSQ1N1,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAOMSQ1N2,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAOMV01,Windows,Win2003,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAOMVEM10,Windows,Win2003,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAOMVEM5,Windows,Win2003,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAOMVEM6,Windows,Win2003,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAOMVEM7,Windows,Win2003,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAOMVEM8,Windows,Win2003,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAOMVEM9,Windows,Win2003,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAONCALLP,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAONDEMANDEV,Windows,,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAOPCTR1,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAOPCTR2,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAOPCTR3,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAOPCTR4,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAOPER1,Linux,SUSE Linux Enterprise Server (SLES) 10,UNITED STATES,RARITAN,LINUX L1,FALSE,FALSE
ITSUSRAOPTD01,Linux,SUSE Linux Enterprise Server (SLES) 10,UNITED STATES,RARITAN,LINUX L1,TRUE,FALSE
ITSUSRAOPTMZR1,Windows,Win2003,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAORAMON1,Windows,Win2003,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAORCAV4,Windows,Win2008 R2,UNITED STATES,RARITAN,IDENTITY & DIRECTORY SERVICES L1,FALSE,FALSE
ITSUSRAOSIPID1,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAOTWBI1,Linux,SUSE Linux Enterprise Server (SLES) 10,UNITED STATES,RARITAN,LINUX L1,FALSE,FALSE
ITSUSRAOTWDTREX,Windows,Win2003 Standard x64,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAOTWPTREX,Windows,Win2003 Standard x64,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAOTWQTREX,Windows,Win2003 Standard x64,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAOTWQVS,Windows,Win2003 Standard x64,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAOTWTTREX,Windows,Win2003 Standard x64,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAOTWVSE,Windows,Win2003 Standard x64,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAP01-AS1,Windows,Win2003 Enterprise x64,UNITED STATES,RARITAN,SECURITY EVENT & LOG MGT,FALSE,FALSE
ITSUSRAP01-CS1,Windows,Win2003 Enterprise x64,UNITED STATES,RARITAN,SECURITY EVENT & LOG MGT,FALSE,FALSE
ITSUSRAP01-DS1,Windows,Win2003 Enterprise x64,UNITED STATES,RARITAN,SECURITY EVENT & LOG MGT,FALSE,FALSE
ITSUSRAP01-LC1,Windows,Win2003 Enterprise x64,UNITED STATES,RARITAN,SECURITY EVENT & LOG MGT,FALSE,FALSE
ITSUSRAP01-LC2,Windows,Win2003 Enterprise x64,UNITED STATES,RARITAN,SECURITY EVENT & LOG MGT,FALSE,FALSE
ITSUSRAP01-LC3,Windows,Win2003 Enterprise x64,UNITED STATES,RARITAN,SECURITY EVENT & LOG MGT,FALSE,FALSE
ITSUSRAP01NBU1,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP01NBU2,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP01NBU3,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP01NBU4,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP02NBU1,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP02NBU2,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP02NBU3,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP02NBU4,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP03NBU1,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP03NBU2,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP03NBU3,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP03NBU4,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP04NBU1,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP04NBU2,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP08C2N1,Windows,Win2003 Enterprise x64,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP08C2N2,Windows,Win2003 Enterprise x64,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP08C3N1,Windows,Win2003 Enterprise x64,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP08C3N2,Windows,Win2003 Enterprise x64,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP21NBU1,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP21NBU2,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP21NBU3,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP21NBU4,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP22NBU1,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP22NBU2,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP22NBU3,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP22NBU4,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP23NBU1,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP23NBU2,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP23NBU3,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP23NBU4,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP24NBU1,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP24NBU2,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP24NBU3,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP24NBU4,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAP2PRD1,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAP2QA1,Windows,Win2003,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAPAPPS01,Windows,Win2003,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAPAPPS02,Windows,Win2003,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAPAPPS03,Windows,Win2003,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAPAR01,Linux,Linux,UNITED STATES,RARITAN,SECURITY EVENT & LOG MGT,FALSE,FALSE
ITSUSRAPAT01,Windows,Win2003,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAPAT02,Windows,Win2003,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
